time,load_shed,perc_load_served,lines_out,gens_out
67,14.999999999999986,0.9965533088235294,1.0,0.0
68,14.999999999999986,0.9965533088235294,1.0,0.0
69,14.999999999999986,0.9965533088235294,1.0,0.0
70,14.999999999999986,0.9965533088235294,1.0,0.0
71,14.999999999999986,0.9965533088235294,1.0,0.0
72,14.999999999999986,0.9965533088235294,1.0,0.0
73,14.999999999999986,0.9965533088235294,1.0,0.0
74,14.999999999999986,0.9965533088235294,1.0,0.0
75,14.999999999999986,0.9965533088235294,1.0,0.0
76,14.999999999999986,0.9965533088235294,1.0,0.0
77,14.999999999999986,0.9965533088235294,1.0,0.0
78,14.999999999999986,0.9965533088235294,1.0,0.0
79,14.999999999999986,0.9965533088235294,1.0,0.0
80,14.999999999999986,0.9965533088235294,1.0,0.0
81,14.999999999999986,0.9965533088235294,1.0,0.0
82,14.999999999999986,0.9965533088235294,1.0,0.0
83,14.999999999999986,0.9965533088235294,1.0,0.0
84,14.999999999999986,0.9965533088235294,1.0,0.0
85,14.999999999999986,0.9965533088235294,1.0,0.0
86,14.999999999999986,0.9965533088235294,1.0,0.0
87,14.999999999999986,0.9965533088235294,1.0,0.0
88,14.999999999999986,0.9965533088235294,1.0,0.0
89,14.999999999999986,0.9965533088235294,1.0,0.0
90,14.999999999999986,0.9965533088235294,1.0,0.0
91,14.999999999999986,0.9965533088235294,1.0,0.0
92,14.999999999999986,0.9965533088235294,1.0,0.0
93,14.999999999999986,0.9965533088235294,1.0,0.0
94,14.999999999999986,0.9965533088235294,1.0,0.0
95,14.999999999999986,0.9965533088235294,1.0,0.0
96,14.999999999999986,0.9965533088235294,1.0,0.0
97,14.999999999999986,0.9965533088235294,1.0,0.0
98,14.999999999999986,0.9965533088235294,1.0,0.0
99,14.999999999999986,0.9965533088235294,1.0,0.0
100,14.999999999999986,0.9965533088235294,1.0,0.0
101,14.999999999999986,0.9965533088235294,1.0,0.0
102,14.999999999999986,0.9965533088235294,1.0,0.0
103,14.999999999999986,0.9965533088235294,1.0,0.0
104,14.999999999999986,0.9965533088235294,1.0,0.0
105,14.999999999999986,0.9965533088235294,1.0,0.0
106,14.999999999999986,0.9965533088235294,1.0,0.0
107,14.999999999999986,0.9965533088235294,1.0,0.0
108,14.999999999999986,0.9965533088235294,1.0,0.0
109,14.999999999999986,0.9965533088235294,1.0,0.0
110,14.999999999999986,0.9965533088235294,1.0,0.0
111,14.999999999999986,0.9965533088235294,1.0,0.0
112,14.999999999999986,0.9965533088235294,1.0,0.0
113,14.999999999999986,0.9965533088235294,1.0,0.0
114,14.999999999999986,0.9965533088235294,1.0,0.0
115,14.999999999999986,0.9965533088235294,1.0,0.0
116,14.999999999999986,0.9965533088235294,1.0,0.0
117,14.999999999999986,0.9965533088235294,1.0,0.0
118,14.999999999999986,0.9965533088235294,1.0,0.0
119,14.999999999999986,0.9965533088235294,1.0,0.0
120,14.999999999999986,0.9965533088235294,1.0,0.0
121,14.999999999999986,0.9965533088235294,1.0,0.0
122,14.999999999999986,0.9965533088235294,1.0,0.0
123,14.999999999999986,0.9965533088235294,1.0,0.0
124,14.999999999999986,0.9965533088235294,1.0,0.0
125,14.999999999999986,0.9965533088235294,1.0,0.0
126,14.999999999999986,0.9965533088235294,1.0,0.0
127,14.999999999999986,0.9965533088235294,1.0,0.0
128,14.999999999999986,0.9965533088235294,1.0,0.0
129,14.999999999999986,0.9965533088235294,1.0,0.0
130,14.999999999999986,0.9965533088235294,1.0,0.0
131,14.999999999999986,0.9965533088235294,1.0,0.0
132,14.999999999999986,0.9965533088235294,1.0,0.0
133,14.999999999999986,0.9965533088235294,1.0,0.0
134,14.999999999999986,0.9965533088235294,1.0,0.0
135,14.999999999999986,0.9965533088235294,1.0,0.0
136,14.999999999999986,0.9965533088235294,1.0,0.0
137,14.999999999999986,0.9965533088235294,1.0,0.0
138,14.999999999999986,0.9965533088235294,1.0,0.0
139,14.999999999999986,0.9965533088235294,1.0,0.0
140,14.999999999999986,0.9965533088235294,1.0,0.0
141,14.999999999999986,0.9965533088235294,1.0,0.0
142,14.999999999999986,0.9965533088235294,1.0,0.0
143,14.999999999999986,0.9965533088235294,1.0,0.0
144,14.999999999999986,0.9965533088235294,1.0,0.0
145,14.999999999999986,0.9965533088235294,1.0,0.0
146,14.999999999999986,0.9965533088235294,1.0,0.0
147,14.999999999999986,0.9965533088235294,1.0,0.0
148,14.999999999999986,0.9965533088235294,1.0,0.0
149,14.999999999999986,0.9965533088235294,1.0,0.0
150,14.999999999999986,0.9965533088235294,1.0,0.0
151,14.999999999999986,0.9965533088235294,1.0,0.0
152,14.999999999999986,0.9965533088235294,1.0,0.0
153,14.999999999999986,0.9965533088235294,1.0,0.0
154,14.999999999999986,0.9965533088235294,1.0,0.0
155,14.999999999999986,0.9965533088235294,1.0,0.0
156,14.999999999999986,0.9965533088235294,1.0,0.0
157,14.999999999999986,0.9965533088235294,1.0,0.0
158,14.999999999999986,0.9965533088235294,1.0,0.0
159,14.999999999999986,0.9965533088235294,1.0,0.0
160,14.999999999999986,0.9965533088235294,1.0,0.0
161,14.999999999999986,0.9965533088235294,1.0,0.0
162,14.999999999999986,0.9965533088235294,1.0,0.0
163,14.999999999999986,0.9965533088235294,1.0,0.0
164,14.999999999999986,0.9965533088235294,1.0,0.0
165,14.999999999999986,0.9965533088235294,1.0,0.0
166,14.999999999999986,0.9965533088235294,1.0,0.0
167,14.999999999999986,0.9965533088235294,1.0,0.0
168,14.999999999999986,0.9965533088235294,1.0,0.0
169,14.999999999999986,0.9965533088235294,1.0,0.0
170,14.999999999999986,0.9965533088235294,1.0,0.0
171,14.999999999999986,0.9965533088235294,1.0,0.0
172,14.999999999999986,0.9965533088235294,1.0,0.0
173,14.999999999999986,0.9965533088235294,1.0,0.0
174,14.999999999999986,0.9965533088235294,1.0,0.0
175,14.999999999999986,0.9965533088235294,1.0,0.0
176,14.999999999999986,0.9965533088235294,1.0,0.0
177,14.999999999999986,0.9965533088235294,1.0,0.0
178,14.999999999999986,0.9965533088235294,1.0,0.0
179,14.999999999999986,0.9965533088235294,1.0,0.0
180,14.999999999999986,0.9965533088235294,1.0,0.0
181,14.999999999999986,0.9965533088235294,1.0,0.0
182,14.999999999999986,0.9965533088235294,1.0,0.0
183,14.999999999999986,0.9965533088235294,1.0,0.0
184,14.999999999999986,0.9965533088235294,1.0,0.0
185,14.999999999999986,0.9965533088235294,1.0,0.0
186,14.999999999999986,0.9965533088235294,1.0,0.0
187,14.999999999999986,0.9965533088235294,1.0,0.0
188,14.999999999999986,0.9965533088235294,1.0,0.0
189,14.999999999999986,0.9965533088235294,1.0,0.0
190,14.999999999999986,0.9965533088235294,1.0,0.0
191,14.999999999999986,0.9965533088235294,1.0,0.0
192,14.999999999999986,0.9965533088235294,1.0,0.0
193,14.999999999999986,0.9965533088235294,1.0,0.0
194,14.999999999999986,0.9965533088235294,1.0,0.0
195,14.999999999999986,0.9965533088235294,1.0,0.0
196,14.999999999999986,0.9965533088235294,1.0,0.0
197,14.999999999999986,0.9965533088235294,1.0,0.0
198,14.999999999999986,0.9965533088235294,1.0,0.0
199,14.999999999999986,0.9965533088235294,1.0,0.0
200,14.999999999999986,0.9965533088235294,1.0,0.0
201,14.999999999999986,0.9965533088235294,1.0,0.0
202,14.999999999999986,0.9965533088235294,1.0,0.0
203,14.999999999999986,0.9965533088235294,1.0,0.0
204,14.999999999999986,0.9965533088235294,1.0,0.0
205,14.999999999999986,0.9965533088235294,1.0,0.0
206,14.999999999999986,0.9965533088235294,1.0,0.0
207,14.999999999999986,0.9965533088235294,1.0,0.0
208,14.999999999999986,0.9965533088235294,1.0,0.0
209,14.999999999999986,0.9965533088235294,1.0,0.0
210,14.999999999999986,0.9965533088235294,1.0,0.0
211,14.999999999999986,0.9965533088235294,1.0,0.0
212,14.999999999999986,0.9965533088235294,1.0,0.0
213,14.999999999999986,0.9965533088235294,1.0,0.0
214,14.999999999999986,0.9965533088235294,1.0,0.0
215,14.999999999999986,0.9965533088235294,1.0,0.0
216,14.999999999999986,0.9965533088235294,1.0,0.0
217,14.999999999999986,0.9965533088235294,1.0,0.0
218,14.999999999999986,0.9965533088235294,1.0,0.0
219,14.999999999999986,0.9965533088235294,1.0,0.0
220,14.999999999999986,0.9965533088235294,1.0,0.0
221,14.999999999999986,0.9965533088235294,1.0,0.0
222,14.999999999999986,0.9965533088235294,1.0,0.0
223,14.999999999999986,0.9965533088235294,1.0,0.0
224,14.999999999999986,0.9965533088235294,1.0,0.0
225,14.999999999999986,0.9965533088235294,1.0,0.0
226,14.999999999999986,0.9965533088235294,1.0,0.0
227,14.999999999999986,0.9965533088235294,1.0,0.0
228,14.999999999999986,0.9965533088235294,1.0,0.0
229,14.999999999999986,0.9965533088235294,1.0,0.0
230,14.999999999999986,0.9965533088235294,1.0,0.0
231,14.999999999999986,0.9965533088235294,1.0,0.0
232,14.999999999999986,0.9965533088235294,1.0,0.0
233,14.999999999999986,0.9965533088235294,1.0,0.0
234,14.999999999999986,0.9965533088235294,1.0,0.0
235,14.999999999999986,0.9965533088235294,1.0,0.0
236,14.999999999999986,0.9965533088235294,1.0,0.0
237,14.999999999999986,0.9965533088235294,1.0,0.0
238,14.999999999999986,0.9965533088235294,1.0,0.0
239,14.999999999999986,0.9965533088235294,1.0,0.0
240,14.999999999999986,0.9965533088235294,1.0,0.0
241,14.999999999999986,0.9965533088235294,1.0,0.0
242,14.999999999999986,0.9965533088235294,1.0,0.0
243,14.999999999999986,0.9965533088235294,1.0,0.0
244,14.999999999999986,0.9965533088235294,1.0,0.0
245,14.999999999999986,0.9965533088235294,1.0,0.0
246,14.999999999999986,0.9965533088235294,1.0,0.0
247,14.999999999999986,0.9965533088235294,1.0,0.0
248,14.999999999999986,0.9965533088235294,1.0,0.0
249,14.999999999999986,0.9965533088235294,1.0,0.0
250,14.999999999999986,0.9965533088235294,1.0,0.0
251,14.999999999999986,0.9965533088235294,1.0,0.0
252,14.999999999999986,0.9965533088235294,1.0,0.0
253,0.0,1.0,0.0,0.0
254,0.0,1.0,0.0,0.0
255,0.0,1.0,0.0,0.0
256,0.0,1.0,0.0,0.0
257,0.0,1.0,0.0,0.0
258,0.0,1.0,0.0,0.0
259,0.0,1.0,0.0,0.0
260,0.0,1.0,0.0,0.0
261,0.0,1.0,0.0,0.0
262,0.0,1.0,0.0,0.0
263,0.0,1.0,0.0,0.0
