state,recovery_time
1,0
1,0
1,0
0,55.91884840824544
1,0
1,0
1,0
1,0
0,133.79028839540956
1,0
1,0
1,0
1,0
1,0
0,1.783547529683612
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,293.91550293070156
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,5.476140380199798
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,4158.896127974957
1,0
1,0
0,0.12803450865056007
1,0
1,0
0,72.05905319270181
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,2416.2289832527954
1,0
1,0
0,71.70926975510481
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,541.4164842524838
1,0
